"TagCode"	"agency"	"run"	"hatchery"	"stock"	"release_loc"	"brood_year"	"hatch_reg"	"stock_reg"	"rel_reg"	"DIT"
"060684"	"CDFW"	"Fall"	"IRON GATE HATCHERY"	"KLAMATH RIVER"	"IRON GATE HATCHERY"	2014	"KLTR"	"KLTR"	"KLTR"	NA
"062375"	"CDFW"	"Fall"	"NIMBUS FISH HATCHERY"	"AMERICAN RIVER"	"WICKLAND OIL TERMINAL"	2020	"SAFA"	"SAFA"	"CECA"	NA
"062299"	"CDFW"	"Fall"	"FEATHER R HATCHERY"	"FEATHER RIVER"	"MARE ISLAND NET PEN"	2020	"SAFA"	"SAFA"	"CECA"	NA
"061504"	"CDFW"	"Fall"	"IRON GATE HATCHERY"	"KLAMATH RIVER"	"IRON GATE HATCHERY"	2017	"KLTR"	"KLTR"	"KLTR"	NA
"061460"	"CDFW"	"Fall"	"FEATHER R HATCHERY"	"FEATHER RIVER"	"FORT BAKER MINOR PT"	2017	"SAFA"	"SAFA"	"CECA"	NA
"200169"	"CCT"	"Summer"	"CHIEF JOSEPH HATCHERY"	"OKANOGAN R   49.0019"	"CHIEF JOSEPH HATCHERY"	2021	"UPCR"	"UPCR"	"UPCR"	NA
"056129"	"USFWS"	"Spring"	"KOOSKIA NAT"	NA	"CLEAR CRK:CLWTR R"	2016	"SNAK"	NA	"SNAK"	NA
"061461"	"CDFW"	"Fall"	"FEATHER R HATCHERY"	"FEATHER RIVER"	"FORT BAKER MINOR PT"	2017	"SAFA"	"SAFA"	"CECA"	NA
"061501"	"CDFW"	"Fall"	"IRON GATE HATCHERY"	"KLAMATH RIVER"	"IRON GATE HATCHERY"	2017	"KLTR"	"KLTR"	"KLTR"	NA
"060630"	"CDFW"	"Fall"	"MERCED R FISH FACIL"	"MERCED RIVER"	"SAN JOAQ RIV JERSEY PT"	2013	"SJOA"	"SJOA"	"SJOA"	NA
"060631"	"CDFW"	"Fall"	"MERCED R FISH FACIL"	"MERCED RIVER"	"SAN JOAQ RIV JERSEY PT"	2013	"SJOA"	"SJOA"	"SJOA"	NA
"0608000807"	"CDFW"	"Fall"	"FEATHER R HATCHERY"	"FEATHER RIVER"	"YOLO BYPASS"	2012	"SAFA"	"SAFA"	"SAFA"	NA
"068697"	"CDFW"	"Spring"	"SAN JOAQ R CONSERVAT HAT"	"FEATHER R HATCHERY"	"SAN JOAQUIN RIV AB MERCED"	2015	"SJOA"	"SAFA"	"SJOA"	NA
"068799"	"CDFW"	"Fall"	"IRON GATE HATCHERY"	"KLAMATH RIVER"	"IRON GATE HATCHERY"	2010	"KLTR"	"KLTR"	"KLTR"	NA
"056128"	"USFWS"	"Spring"	"DWORSHAK NAT. HATCH"	NA	"DWORSHAK NAT. HATCH"	2016	"SNAK"	NA	"SNAK"	NA
"056127"	"USFWS"	"Spring"	"DWORSHAK NAT. HATCH"	NA	"DWORSHAK NAT. HATCH"	2016	"SNAK"	NA	"SNAK"	NA
"056126"	"USFWS"	"Spring"	"DWORSHAK NAT. HATCH"	NA	"DWORSHAK NAT. HATCH"	2016	"SNAK"	NA	"SNAK"	NA
"062361"	"CDFW"	"Fall"	"MOK R FISH INS"	"FEATHER RIVER"	"FORT BAKER MINOR PT"	2020	"SJOA"	"SAFA"	"CECA"	NA
"062340"	"CDFW"	"Fall"	"FEATHER R HATCHERY"	"FEATHER RIVER"	"WICKLAND OIL TERMINAL"	2020	"SAFA"	"SAFA"	"CECA"	NA
"060777"	"CDFW"	"Fall"	"TRINITY R HATCHERY"	"TRINITY RIVER"	"TRINITY R HATCHERY"	2015	"KLTR"	"KLTR"	"KLTR"	NA
"060446"	"CDFW"	"Fall"	"FEATHER R HATCHERY"	"FEATHER R HATCHERY"	"LAKE OROVILLE"	2013	"SAFA"	"SAFA"	"SAFA"	NA
"056122"	"USFWS"	"Spring"	"DWORSHAK NAT. HATCH"	NA	"DWORSHAK NAT. HATCH"	2016	"SNAK"	NA	"SNAK"	NA
"061463"	"CDFW"	"Fall"	"FEATHER R HATCHERY"	"FEATHER RIVER"	"FORT BAKER MINOR PT"	2017	"SAFA"	"SAFA"	"CECA"	NA
